Model,evttime,nnegative,numrets,car_m,ret_m,abret_m,cret_me,car_me,bhar_me,abret_t,abret_Probt,bhar_t,bhar_Probt,car_te,car_te_probt,car_t,car_Probt,pat_ar,pat_ar_probz,patcar_me,patcar_me_probz,sar_t,sar_Probt,scar_te,scar_te_probt,gen_sign_stat,gen_sign_probz,sign_stat,sign_probm,wlcx_rank_stat,wlcx_rank_probs,corrado_rank_stat,corrado_rank_probz
Market-Adjusted Model,-10,3012,6515,0.0001193251,-0.003480675,0.0001193251,-0.030187853,0.0129936403,0.0117583251,0.4659284057,0.6412823287,0.4659284057,0.6412823287,8.991640212,3.143101E-19,0.4659284057,0.6412823287,2.9582488695,0.9984530389,21.025780768,0.740712263,3.7842739495,0.0001555414,21.072884788,2.036402E-95,5.3797073639,3.7303507E-8,246,1.1550243E-9,289945.5,0.0560962571,0.0663176902,0.4735624498
Market-Adjusted Model,-9,2845,6514,0.0014321197,-0.009186459,0.001313541,-0.0301927,0.0129948705,0.0117593656,4.098311407,0.0000421231,3.5365375106,0.0004082299,8.9911141902,3.15812E-19,3.5728073371,0.0003557278,9.976832262,1,21.026432937,0.9976119105,9.826960834,1.237523E-22,21.071975234,2.075573E-95,9.3614775726,0,412.5,1.550995E-24,1139500.5,5.292075E-14,0.6109226499,0.2706253946
Market-Adjusted Model,-8,2574,6513,0.0031201675,-0.004109652,0.0016903482,-0.030197692,0.0129943458,0.0117586568,6.1906582022,6.355967E-10,6.670338782,2.762044E-11,8.9893711954,3.208106E-19,6.7961128028,1.170179E-11,10.511783551,1,21.026276653,0.9999998423,11.839167376,5.206358E-32,21.070223444,2.151014E-95,15.837850804,0,683,1.197994E-64,2223729,2.010575E-49,0.8699444302,0.1921653866
Market-Adjusted Model,-7,2669,6513,0.0066487682,0.0046286007,0.0035286007,-0.030197692,0.0129943458,0.0117586568,12.217468577,5.890331E-34,12.398154493,6.60915E-35,8.9893711954,3.208106E-19,12.68861904,1.84279E-36,16.432105208,1,21.026276653,1,19.741934115,2.645298E-84,21.070223444,2.151014E-95,13.559126889,0,588,2.7907E-48,2698254,1.786874E-72,1.1406001354,0.1270181805
Market-Adjusted Model,-6,3332,6511,0.0058298923,-0.004214587,-0.000814587,-0.030207525,0.0129920062,0.0117559676,-2.833483059,0.0046185406,9.4824433731,3.402076E-21,8.9849979864,3.336921E-19,9.7370263439,2.97174E-22,-4.177625468,0.0000147284,21.025232261,1,-5.020501356,5.2907116E-7,21.065979777,2.344248E-95,-2.391940513,0.0083797792,-76,0.0612695233,-848951.5,2.0897936E-8,-0.535957971,0.2959937988
Market-Adjusted Model,-5,4229,6499,0.0021514239,0.0042811653,-0.003618835,-0.030278478,0.0129455989,0.0117218095,-13.07361934,1.424818E-38,2.9638092027,0.0030495942,8.9414463287,4.93225E-19,3.2642989362,0.0011030327,-17.33701284,1.236287E-67,21.006702357,0.9999642556,-21.33897103,1.045502E-97,21.03216465,4.630417E-95,-24.19573039,1.23365E-129,-979,3.33641E-132,-3575017.5,4.50743E-129,-1.858811848,0.0315269062
Market-Adjusted Model,-4,3998,6497,-0.000766219,0.0070846362,-0.002915364,-0.030286342,0.0129466431,0.0117224705,-8.91937454,6.007291E-19,-1.234536603,0.2170476782,8.9394228073,5.022667E-19,-1.057008398,0.290547067,-14.79081261,8.395712E-50,21.008916367,0.7713341484,-14.45796371,1.17729E-46,21.031301072,4.720064E-95,-18.70280643,2.348325E-78,-749,1.101951E-77,-2590829,2.484853E-67,-1.477540986,0.0697653401
Market-Adjusted Model,-3,3298,6474,-0.000127361,0.0055323805,0.0006323805,-0.030368847,0.0130018459,0.0117733982,1.8469517596,0.0647997493,-0.340288301,0.7336504706,8.9460814299,4.736528E-19,-0.157134907,0.8751434287,3.8736739099,0.9999463966,21.074676792,0.947205544,3.6772387002,0.0002376835,21.065806789,2.447698E-95,-2.463900216,0.0068717183,-60.5,0.135819431,135249.5,0.3684055565,0.0115850796,0.4953783253
Market-Adjusted Model,-2,3024,6470,-0.000868252,-0.003973618,-0.000873618,-0.030243375,0.0131426907,0.0119251898,-2.703705105,0.0068750412,-1.240312435,0.2149048457,9.0691651716,1.564123E-19,-1.025919253,0.3049680124,2.1959334562,0.9859516467,21.143061022,0.9846099896,2.1150389092,0.0344647688,21.16623885,3.365825E-96,4.0124730151,0.000030043,211.5,1.532693E-7,-134347.5,0.3711661316,-0.035166811,0.4859733633
Market-Adjusted Model,-1,2386,6465,0.0028456878,-0.01308364,0.0037163604,-0.030266462,0.0131511075,0.0119326482,10.593783557,5.199258E-26,2.7786561899,0.0054741866,9.068053193,1.580284E-19,3.2718976497,0.0010738887,24.244226795,1,21.152560988,1,23.328483175,1.22475E-115,21.168910474,3.209717E-96,19.195970257,0,847,1.440574E-99,2842095,2.998441E-82,1.7798623555,0.0375492449
